Datetime,Discharge (Ml/d) Mean
1/07/2008 0:00,464.43
2/07/2008 0:00,464
3/07/2008 0:00,435.84
4/07/2008 0:00,409.38
5/07/2008 0:00,610.12
6/07/2008 0:00,748.95
7/07/2008 0:00,663.11
8/07/2008 0:00,552.53
9/07/2008 0:00,441.53
10/07/2008 0:00,369.1
11/07/2008 0:00,362.8
12/07/2008 0:00,394.39
13/07/2008 0:00,476.34
14/07/2008 0:00,581.64
15/07/2008 0:00,846.8
16/07/2008 0:00,842.19
17/07/2008 0:00,714.76
18/07/2008 0:00,604.41
19/07/2008 0:00,513.82
20/07/2008 0:00,536.19
21/07/2008 0:00,543.58
22/07/2008 0:00,594.23
23/07/2008 0:00,924.42
24/07/2008 0:00,1589.42
25/07/2008 0:00,1591.44
26/07/2008 0:00,1352.95
27/07/2008 0:00,1112.87
28/07/2008 0:00,985.29
29/07/2008 0:00,880.31
30/07/2008 0:00,790.72
31/07/2008 0:00,845.25
1/08/2008 0:00,889.53
2/08/2008 0:00,851.83
3/08/2008 0:00,834.55
4/08/2008 0:00,1483.95
5/08/2008 0:00,2071.71
6/08/2008 0:00,1740.3
7/08/2008 0:00,1580.02
8/08/2008 0:00,1298.12
9/08/2008 0:00,1004.5
10/08/2008 0:00,867.37
11/08/2008 0:00,840.15
12/08/2008 0:00,994.95
13/08/2008 0:00,1224.08
14/08/2008 0:00,1321.32
15/08/2008 0:00,1556.54
16/08/2008 0:00,2247.75
17/08/2008 0:00,3363.98
18/08/2008 0:00,3736.74
19/08/2008 0:00,3423.17
20/08/2008 0:00,3030.2
21/08/2008 0:00,2585.96
22/08/2008 0:00,2175.98
23/08/2008 0:00,1793.49
24/08/2008 0:00,1875.91
25/08/2008 0:00,1732.73
26/08/2008 0:00,1576.19
27/08/2008 0:00,1369.05
28/08/2008 0:00,1205.1
29/08/2008 0:00,1172.25
30/08/2008 0:00,1289.82
31/08/2008 0:00,1095.66
1/09/2008 0:00,898.25
2/09/2008 0:00,884.84
3/09/2008 0:00,869.51
4/09/2008 0:00,937.58
5/09/2008 0:00,1008.54
6/09/2008 0:00,976.15
7/09/2008 0:00,918.39
8/09/2008 0:00,723.95
9/09/2008 0:00,632.29
10/09/2008 0:00,699.57
11/09/2008 0:00,647.84
12/09/2008 0:00,762.46
13/09/2008 0:00,733.68
14/09/2008 0:00,670.52
15/09/2008 0:00,657.47
16/09/2008 0:00,658.21
17/09/2008 0:00,676.55
18/09/2008 0:00,810.79
19/09/2008 0:00,981.46
20/09/2008 0:00,883.52
21/09/2008 0:00,709.86
22/09/2008 0:00,617.4
23/09/2008 0:00,589.29
24/09/2008 0:00,622.3
25/09/2008 0:00,592.71
26/09/2008 0:00,654.48
27/09/2008 0:00,786.58
28/09/2008 0:00,855.57
29/09/2008 0:00,697.81
30/09/2008 0:00,656.52
1/10/2008 0:00,617.72
2/10/2008 0:00,571.13
3/10/2008 0:00,604.93
4/10/2008 0:00,613.66
5/10/2008 0:00,655.43
6/10/2008 0:00,656.68
7/10/2008 0:00,669.46
8/10/2008 0:00,627.01
9/10/2008 0:00,525.38
10/10/2008 0:00,608.29
11/10/2008 0:00,714.34
12/10/2008 0:00,654.13
13/10/2008 0:00,547.28
14/10/2008 0:00,514.83
15/10/2008 0:00,539.5
16/10/2008 0:00,573.35
17/10/2008 0:00,526.66
18/10/2008 0:00,546.54
19/10/2008 0:00,504.01
20/10/2008 0:00,518.25
21/10/2008 0:00,560.32
22/10/2008 0:00,514.6
23/10/2008 0:00,437.73
24/10/2008 0:00,509.33
25/10/2008 0:00,585.7
26/10/2008 0:00,503.95
27/10/2008 0:00,498.66
28/10/2008 0:00,529.26
29/10/2008 0:00,508.01
30/10/2008 0:00,471.04
31/10/2008 0:00,476.75
1/11/2008 0:00,487.25
2/11/2008 0:00,438.39
3/11/2008 0:00,488.49
4/11/2008 0:00,541.5
5/11/2008 0:00,552.15
6/11/2008 0:00,593.89
7/11/2008 0:00,620.52
8/11/2008 0:00,551.4
9/11/2008 0:00,552.59
10/11/2008 0:00,558.29
11/11/2008 0:00,528.96
12/11/2008 0:00,496.23
13/11/2008 0:00,470.4
14/11/2008 0:00,430.32
15/11/2008 0:00,460.33
16/11/2008 0:00,490.75
17/11/2008 0:00,479.99
18/11/2008 0:00,490.41
19/11/2008 0:00,514.16
20/11/2008 0:00,499.55
21/11/2008 0:00,476.8
22/11/2008 0:00,521.67
23/11/2008 0:00,610.5
24/11/2008 0:00,629.14
25/11/2008 0:00,819.99
26/11/2008 0:00,1909.58
27/11/2008 0:00,1488.77
28/11/2008 0:00,1021.06
29/11/2008 0:00,930.26
30/11/2008 0:00,1058.45
1/12/2008 0:00,963.78
2/12/2008 0:00,978.31
3/12/2008 0:00,905.55
4/12/2008 0:00,896.25
5/12/2008 0:00,797.58
6/12/2008 0:00,663.17
7/12/2008 0:00,627.65
8/12/2008 0:00,589.37
9/12/2008 0:00,563.72
10/12/2008 0:00,559.78
11/12/2008 0:00,547.93
12/12/2008 0:00,541.8
13/12/2008 0:00,589.33
14/12/2008 0:00,699.07
15/12/2008 0:00,1448.18
16/12/2008 0:00,3583.92
17/12/2008 0:00,3993.87
18/12/2008 0:00,3346.48
19/12/2008 0:00,2525.26
20/12/2008 0:00,2179.93
21/12/2008 0:00,1927.26
22/12/2008 0:00,1729.19
23/12/2008 0:00,1278.08
24/12/2008 0:00,993.76
25/12/2008 0:00,1041.23
26/12/2008 0:00,995.96
27/12/2008 0:00,857.03
28/12/2008 0:00,707.81
29/12/2008 0:00,715.79
30/12/2008 0:00,678.36
31/12/2008 0:00,580.45
1/01/2009 0:00,541.25
2/01/2009 0:00,521.05
3/01/2009 0:00,531.68
4/01/2009 0:00,515.73
5/01/2009 0:00,476.15
6/01/2009 0:00,456.68
7/01/2009 0:00,454.82
8/01/2009 0:00,431.43
9/01/2009 0:00,426.24
10/01/2009 0:00,453.48
11/01/2009 0:00,466.38
12/01/2009 0:00,407.27
13/01/2009 0:00,397.85
14/01/2009 0:00,404.27
15/01/2009 0:00,382.08
16/01/2009 0:00,387.14
17/01/2009 0:00,372.83
18/01/2009 0:00,352.85
19/01/2009 0:00,350.45
20/01/2009 0:00,374.72
21/01/2009 0:00,369.72
22/01/2009 0:00,365.09
23/01/2009 0:00,349.51
24/01/2009 0:00,343.84
25/01/2009 0:00,347.94
26/01/2009 0:00,384.41
27/01/2009 0:00,363.84
28/01/2009 0:00,357.45
29/01/2009 0:00,350.78
30/01/2009 0:00,334.83
31/01/2009 0:00,307.28
1/02/2009 0:00,308.58
2/02/2009 0:00,321.99
3/02/2009 0:00,325.2
4/02/2009 0:00,324.95
5/02/2009 0:00,339.19
6/02/2009 0:00,329.88
7/02/2009 0:00,307.62
8/02/2009 0:00,326.28
9/02/2009 0:00,338.81
10/02/2009 0:00,311.22
11/02/2009 0:00,335.92
12/02/2009 0:00,379.56
13/02/2009 0:00,422.59
14/02/2009 0:00,409.6
15/02/2009 0:00,368.35
16/02/2009 0:00,334.15
17/02/2009 0:00,323.34
18/02/2009 0:00,326.78
19/02/2009 0:00,315.13
20/02/2009 0:00,310.01
21/02/2009 0:00,301.73
22/02/2009 0:00,301.53
23/02/2009 0:00,284.54
24/02/2009 0:00,290.76
25/02/2009 0:00,279.28
26/02/2009 0:00,262.37
27/02/2009 0:00,257.49
28/02/2009 0:00,249.94
1/03/2009 0:00,261.35
2/03/2009 0:00,275.85
3/03/2009 0:00,258.8
4/03/2009 0:00,252.25
5/03/2009 0:00,263.28
6/03/2009 0:00,281.75
7/03/2009 0:00,263.48
8/03/2009 0:00,261.83
9/03/2009 0:00,294.56
10/03/2009 0:00,344.18
11/03/2009 0:00,344.81
12/03/2009 0:00,311.49
13/03/2009 0:00,327.92
14/03/2009 0:00,352.95
15/03/2009 0:00,391.58
16/03/2009 0:00,425.9
17/03/2009 0:00,423.37
18/03/2009 0:00,450.83
19/03/2009 0:00,513.35
20/03/2009 0:00,542.48
21/03/2009 0:00,433.93
22/03/2009 0:00,379.09
23/03/2009 0:00,364.87
24/03/2009 0:00,352.63
25/03/2009 0:00,359.27
26/03/2009 0:00,366.12
27/03/2009 0:00,351.96
28/03/2009 0:00,332.66
29/03/2009 0:00,322.09
